learning_rate,regularization,hidden_dims,mean_accuracy,mean_f1
0.01,0.1,[2],0.8141025641025641,0.7688543556261862
0.01,0.1,"[2, 2]",0.545989010989011,0.0
0.01,0.1,"[2, 2, 2]",0.545989010989011,0.0
0.01,0.1,[10],0.8352197802197802,0.803757357163974
0.01,0.1,"[10, 10]",0.545989010989011,0.0
0.01,0.1,[20],0.8410439560439562,0.8143754067654015
0.01,0.1,[40],0.8506227106227107,0.833332004253057
0.01,0.1,"[20, 10]",0.545989010989011,0.0
0.01,0.1,"[30, 15]",0.545989010989011,0.0
0.01,0.1,"[40, 20, 10]",0.545989010989011,0.0
0.05,0.0,[2],0.8545604395604396,0.8484961035722884
0.05,0.0,"[2, 2]",0.6056043956043956,0.16363636363636364
0.05,0.0,"[2, 2, 2]",0.545989010989011,0.0
0.05,0.0,[10],0.8602930402930402,0.8565058193755279
0.05,0.0,"[10, 10]",0.8602564102564102,0.8531599510497226
0.05,0.0,[20],0.8679853479853479,0.8661884147598432
0.05,0.0,[40],0.8679853479853479,0.8661884147598432
0.05,0.0,"[20, 10]",0.8660256410256411,0.8545812363743858
0.05,0.0,"[30, 15]",0.8564835164835166,0.8513842446443203
0.05,0.0,"[40, 20, 10]",0.545989010989011,0.0
0.05,0.001,[2],0.8526373626373627,0.8454341122279138
0.05,0.001,"[2, 2]",0.7224175824175824,0.4921629672096414
0.05,0.001,"[2, 2, 2]",0.545989010989011,0.0
0.05,0.001,[10],0.867967032967033,0.8650269571698143
0.05,0.001,"[10, 10]",0.8583882783882784,0.8499296721346907
0.05,0.001,[20],0.864139194139194,0.8616477418833824
0.05,0.001,[40],0.866062271062271,0.8639208410636983
0.05,0.001,"[20, 10]",0.8564468864468864,0.8487064613079275
0.05,0.001,"[30, 15]",0.864157509157509,0.8576391094762668
0.05,0.001,"[40, 20, 10]",0.545989010989011,0.0
0.05,0.01,[2],0.8564468864468864,0.8491204978684113
0.05,0.01,"[2, 2]",0.6685164835164835,0.3322867853795689
0.05,0.01,"[2, 2, 2]",0.545989010989011,0.0
0.05,0.01,[10],0.864157509157509,0.8611242293895083
0.05,0.01,"[10, 10]",0.8659706959706959,0.8571279435241784
0.05,0.01,[20],0.867967032967033,0.8655371612514469
0.05,0.01,[40],0.8718315018315017,0.8701842918985776
0.05,0.01,"[20, 10]",0.8507142857142858,0.8449500042815083
0.05,0.01,"[30, 15]",0.8565018315018313,0.8521477013632103
0.05,0.01,"[40, 20, 10]",0.545989010989011,0.0
0.05,0.1,[2],0.8545604395604395,0.8485127300889023
0.05,0.1,"[2, 2]",0.6806043956043956,0.35040935672514617
0.05,0.1,"[2, 2, 2]",0.545989010989011,0.0
0.05,0.1,[10],0.864139194139194,0.8610422159294341
0.05,0.1,"[10, 10]",0.8602930402930404,0.8530055286719499
0.05,0.1,[20],0.866062271062271,0.8639620696763555
0.05,0.1,[40],0.864157509157509,0.8622755243882374
0.05,0.1,"[20, 10]",0.8584065934065934,0.8544255206313208
0.05,0.1,"[30, 15]",0.8641391941391943,0.8610877208646459
0.05,0.1,"[40, 20, 10]",0.545989010989011,0.0
0.1,0.0,[2],0.8450000000000001,0.8368041757645986
0.1,0.0,"[2, 2]",0.8507509157509159,0.8430461671589844
0.1,0.0,"[2, 2, 2]",0.545989010989011,0.0
0.1,0.0,[10],0.8507509157509157,0.8448324434335724
0.1,0.0,"[10, 10]",0.8507142857142858,0.8437109453057399
0.1,0.0,[20],0.8507509157509157,0.8454959661359196
0.1,0.0,[40],0.8526556776556775,0.8477530636495855
0.1,0.0,"[20, 10]",0.8488095238095239,0.842132580823748
0.1,0.0,"[30, 15]",0.8507142857142858,0.8445409211821238
0.1,0.0,"[40, 20, 10]",0.7833516483516485,0.6508758470783788
0.1,0.001,[2],0.843095238095238,0.8352103493640556
0.1,0.001,"[2, 2]",0.8526190476190477,0.844594033064763
0.1,0.001,"[2, 2, 2]",0.545989010989011,0.0
0.1,0.001,[10],0.8526556776556777,0.8465067603697196
0.1,0.001,"[10, 10]",0.8468864468864469,0.8391342601632079
0.1,0.001,[20],0.8545787545787545,0.8492944733930733
0.1,0.001,[40],0.8565018315018313,0.852855104465912
0.1,0.001,"[20, 10]",0.8488278388278389,0.8421468187694611
0.1,0.001,"[30, 15]",0.846904761904762,0.8399837338211981
0.1,0.001,"[40, 20, 10]",0.7987179487179487,0.6698373568547967
0.1,0.01,[2],0.8468864468864469,0.839236669584152
0.1,0.01,"[2, 2]",0.8602564102564102,0.8531254130469309
0.1,0.01,"[2, 2, 2]",0.5974175824175825,0.15999999999999998
0.1,0.01,[10],0.8507509157509159,0.8441074451614042
0.1,0.01,"[10, 10]",0.8545238095238096,0.8489308723096209
0.1,0.01,[20],0.8545787545787545,0.8495083539371601
0.1,0.01,[40],0.8526923076923076,0.8482099343955014
0.1,0.01,"[20, 10]",0.846904761904762,0.8398324909764883
0.1,0.01,"[30, 15]",0.8507326007326007,0.8440879473797981
0.1,0.01,"[40, 20, 10]",0.8488278388278389,0.8287973221775555
0.1,0.1,[2],0.8487912087912088,0.8413913576768739
0.1,0.1,"[2, 2]",0.8564285714285715,0.8478942963792633
0.1,0.1,"[2, 2, 2]",0.545989010989011,0.0
0.1,0.1,[10],0.8507326007326007,0.8447026366583795
0.1,0.1,"[10, 10]",0.8488278388278389,0.8429408995692066
0.1,0.1,[20],0.8545787545787545,0.8500726512784513
0.1,0.1,[40],0.8545787545787545,0.8504045788011005
0.1,0.1,"[20, 10]",0.8488095238095239,0.8422838236684578
0.1,0.1,"[30, 15]",0.8564652014652016,0.8513480573283788
0.1,0.1,"[40, 20, 10]",0.8218131868131868,0.792244253381325
0.5,0.0,[2],0.8296886446886447,0.8163648337245905
0.5,0.0,"[2, 2]",0.8258241758241759,0.8086104203125479
0.5,0.0,"[2, 2, 2]",0.7286813186813186,0.5007191892775417
0.5,0.0,[10],0.8411172161172162,0.8271421194421487
0.5,0.0,"[10, 10]",0.8411538461538463,0.825080886817347
0.5,0.0,[20],0.8392307692307692,0.8260883451599016
0.5,0.0,[40],0.8354029304029303,0.8218238186842939
0.5,0.0,"[20, 10]",0.8315567765567765,0.8124060566278357
0.5,0.0,"[30, 15]",0.846904761904762,0.8371859955622842
0.5,0.0,"[40, 20, 10]",0.8411538461538461,0.8261986531569828
0.5,0.001,[2],0.8316117216117217,0.8163461538461538
0.5,0.001,"[2, 2]",0.8277289377289379,0.8120025250511663
0.5,0.001,"[2, 2, 2]",0.7128937728937729,0.4856655705760565
0.5,0.001,[10],0.8334615384615386,0.8188264656802033
0.5,0.001,"[10, 10]",0.8334798534798533,0.8164809585617844
0.5,0.001,[20],0.8353846153846154,0.8207627319973975
0.5,0.001,[40],0.8353846153846153,0.8212387463819578
0.5,0.001,"[20, 10]",0.8392124542124544,0.8223015459440681
0.5,0.001,"[30, 15]",0.8296153846153848,0.8071703265445442
0.5,0.001,"[40, 20, 10]",0.821959706959707,0.8032197494382368
0.5,0.01,[2],0.8316117216117217,0.8185438715284825
